"ENTRY","BLUP","condSD"
"TMS18F1342P0003",-5.5713,14.9685
"TMS18F1324P0089",-5.5893,14.9668
"TMS18F1377P0023",-5.7548,14.969
"TMS18F1330P0008",-5.774,14.964
"TMS18F1259P0131",-5.8103,14.969
"TMS18F1040P0044",-5.9104,14.9637
"TMS18F1048P0023",-5.9419,16.5969
"TMS18F1041P0002",-5.9501,16.5981
"TMS18F1320P0032",-5.9792,14.9625
"TMS18F1352P0016",-6.0842,14.9713
"TMS18F1003P0014",-6.1331,14.9678
"TMS18F1306P0135",-6.1756,14.9667
"TMS18F1215P0027",-6.2652,16.594
"TMS18F1306P0149",-6.2706,14.9655
"TMS18F1355P0120",-6.4008,14.9686
"TMS18F1348P0024",-6.4255,14.9759
"TMS18F1068P0063",-6.4257,14.9678
"TMS18F1028P0030",-6.6401,16.5944
"TMS18F1138P0035",-6.6738,14.9661
"TMS18F1364P0027",-6.7283,14.9667
"TMS18F1481P0015",-6.7393,20.7731
"TMS18F1344P0147",-6.7674,14.9639
"TMS18F1055P0036",-6.9229,14.9679
"TMS18F1058P0019",-6.9286,16.594
"TMS18F1343P0014",-6.9772,18.6487
"TMS18F1113P0002",-6.9824,14.9632
"TMS18F1426P0001",-7.0834,14.9645
"TMS18F1233p0013",-7.1766,14.9642
"TMS18F1308P0114",-7.1881,14.9665
"TMS18F1307P0001",-7.2158,14.9666
"TMS18F1076P0114",-7.3623,20.7785
"TMS18F1346P0023",-7.4698,14.9623
"TMS18F1280P0136",-7.6143,14.9628
"TMS18F1282P0049",-7.6795,14.9643
"TMS18F1073P0038",-7.7465,16.5962
"TMS18F1265P0030",-7.8331,14.971
"TMS18F1092P0016",-7.9239,14.9662
"TMS18F1019P0018",-7.9601,14.9647
"TMS18F1218P0003",-8.3528,14.961
"TMS18F1135P0025",-8.3741,14.9746
"TMS18F1295P0034",-8.6437,16.5985
"TMS18F1076P0117",-8.7588,18.632
"TMS18F1562P0023",-8.7749,14.9664
"TMS18F1562P0025",-8.8723,14.9694
"TMS18F1058P0020",-8.8816,18.6343
"TMS18F1132P0144",-9.3447,14.968
"TMS18F1317P0119",-9.4895,14.9627
"TMS18F1421P0025",-10.2424,18.6326
"TMS18F1338P0115",-10.4167,16.5971
"TMS18F1447P0078",-11.3957,14.9676
