trial,year_harvest,location,trial_type,plot_name,accession_name,plot_number,block_number,is_a_control,rep_number,row_number,col_number,LODG,BRNLEV9,PLTHT9,NOHAV,RTNO,STARCH,BRNHB9,ANGBR9,STMDI9,PPSTD9,SHTWT,RTWT,BRNHT9,PLTHT6,FYLD,DYLD,TYLD,HI,DM,BRNHT6
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1373P0028_1169,TMS18F1373P0028,1169,7,,1,7,19,0,3,162,8,68,11.73,3,95.2,22.16,2,37.85,33.25,60,143,44.33,12,50.47,0.47,27.06,49.6
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1348P0131_1170,TMS18F1348P0131,1170,7,,1,7,20,1,,,4,18,14.65,,,,1,13.34,4.52,,151,6.03,1.76,17.79,0.25,29.25,61
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1189P0013_1171,TMS18F1189P0013,1171,7,,1,7,21,0,3,145,7,56,9.01,3,96.97,21.836,2,27.77,22.7,54,132,30.27,7.57,37.03,0.45,25.02,56
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-IITA-TMS-IBA980581_1172,IITA-TMS-IBA980581,1172,7,1,1,7,22,0,,179,9,64,9.99,3,84.25,23.314,2,35.11,27.65,,166,36.87,9.5,46.81,0.44,25.76,
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1377P0007_1173,TMS18F1377P0007,1173,7,,1,7,23,1,3,153,8,41,20.86,3,74.81,20.256,2,21.03,19.95,44,143,26.6,9.02,28.04,0.49,33.92,42.4
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1291P0014_1174,TMS18F1291P0014,1174,7,,1,7,24,1,2,177,8,52,13.88,3,74.85,26.738,1,30.49,22.95,72,146.2,30.6,8.77,40.65,0.43,28.67,68.4
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1539P0063_1175,TMS18F1539P0063,1175,7,,1,7,25,0,2,155,9,78,16.37,3,86.13,22.88,2,32.84,33.75,84.4,146,45,13.74,43.79,0.51,30.54,
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1308P0082_1176,TMS18F1308P0082,1176,8,,1,8,25,0,1,132,8,53,16.21,3,77.15,21.544,2,27.46,24.03,87,112.4,32.04,9.75,36.61,0.47,30.42,
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1348P0101_1177,TMS18F1348P0101,1177,8,,1,8,24,0,,113,9,50,14.78,3,48.61,17.956,2,21.75,20.15,,104,26.87,7.89,29,0.48,29.35,
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1179P0008_1178,TMS18F1179P0008,1178,8,,1,8,23,1,3,144,4,35,15.63,3,80.65,24.636,2,27.7,19.45,61,129,25.93,7.78,36.93,0.41,29.99,60
