trial,year_harvest,location,trial_type,plot_name,accession_name,plot_number,block_number,is_a_control,rep_number,row_number,col_number,NOHAV,RTNO,SHTWT,RTWT,DM,STARCH,FYLD,DYLD,TYLD,HI,NDVI3,NDVI6,NDVI9,LODG,PLTHT3,BRNHT3,BRNLEV3,PLTHT6,BRNHT6,BRNLEV6,PLTHT9,BRNHT9,BRNLEV9,CHL3,CHL6,CHL9,CHL12,ANGBR9,STMDI9,PPSTD9
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1324P0092_1491,TMS18F1324P0092,1491,20,,1,20,10,7,48,14.35,29.3,30.58,16.41,29.3,8.96,14.35,0.67,0.79,0.82,0.84,,95,,,142,,,177,104,2.4,49.23,48.83,49.77,52.73,99.39,22.68,2
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1348P0095_1492,TMS18F1348P0095,1492,20,,1,20,9,9,63,9.9,28.15,34.23,21.27,28.15,9.63,9.9,0.74,0.75,0.85,0.82,,83,,,123,,,138,,,49.73,49.03,50.7,51.57,99.47,26.09,2.4
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1144P0010_1493,TMS18F1144P0010,1493,20,,1,20,8,8,48,10.4,24.55,34.55,21.7,24.55,8.48,10.4,0.7,0.75,0.81,0.72,2,96,,,89,,,149,,,50.17,47.73,51.73,53.73,0,18.81,2.6
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1355p0030_1494,TMS18F1355p0030,1494,20,,1,20,7,7,60,23.55,26.2,34,20.97,26.2,8.91,23.55,0.53,0.74,0.87,0.87,,126,,,204,,,267,,,51.57,47.73,51.57,54.43,0,20.98,2
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1073P0035_1495,TMS18F1073P0035,1495,20,,1,20,6,7,64,16.35,35.06,,,35.06,,16.35,0.68,0.75,0.87,0.85,2,100,,,140,75,2.6,186,56,2.2,49.9,49.2,48.23,48.73,74.41,21.01,2.4
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMEB419_1496,TMEB419,1496,20,1,1,20,5,5,15,18.9,24.15,31.96,18.25,24.15,7.72,18.9,0.56,0.81,0.88,0.89,1,143,,,196,,,240,,,52.47,49.7,50.47,52.1,0,22.11,2.6
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1350P0041_1497,TMS18F1350P0041,1497,20,,1,20,4,8,56,20.9,33.69,37.51,25.65,33.69,12.64,20.9,0.62,0.84,0.88,0.77,2,103,,,138,,,177,,,51.6,49.3,49.67,46.23,91.47,29.42,2
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1305P0017_1498,TMS18F1305P0017,1498,20,,1,20,3,7,65,21.05,13.7,36.36,24.12,13.7,4.98,21.05,0.39,0.82,0.88,0.84,,110,,,150,89,3,186,82,2.8,49.57,48.13,51.5,51.17,89.35,25.42,1.4
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1380P0003_1499,TMS18F1380P0003,1499,20,,1,20,2,6,31,5.45,11.12,35.57,23.06,11.12,3.96,5.45,0.67,0.75,0.84,0.83,2,86,,,108,,,159,73,2.6,51.1,44.6,49.83,50.37,91.54,23.36,2
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1326P0007_1500,TMS18F1326P0007,1500,20,,1,20,1,3,24,5.35,10.95,33.48,20.28,10.95,3.67,5.35,0.67,0.71,0.8,0.8,1,69,,,,,,,,,48.17,41.73,47.67,41.97,,,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep2-TMS18F1208P0007_2001,TMS18F1208P0007,2001,21,,2,21,1,4,39,10.05,17.4,33.37,20.13,17.4,5.81,10.05,0.63,0.76,0.87,0.82,,74,,,,,,144,,,52.03,49.17,50.9,52.67,90.26,22.46,1.8
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep2-TMEB419_2002,TMEB419,2002,21,1,2,21,2,6,24,15.2,16.45,34.9,22.16,16.45,5.74,15.2,0.52,0.82,0.88,0.83,1,131,,,196,,,264,,,53.1,49.4,50.9,51,0,23.28,2.2
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep2-IITA-TMS-IBA30572_2003,IITA-TMS-IBA30572,2003,21,1,2,21,3,4,15,10.95,9.45,30.72,16.61,9.45,2.9,10.95,0.46,0.72,0.84,0.82,1,,,,,,,,,,47.13,44.77,46.83,49.7,,,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep2-TMS18F1340P0001_2004,TMS18F1340P0001,2004,21,,2,21,4,6,40,18.35,13.55,30.95,16.91,13.55,4.19,18.35,0.42,0.78,0.87,0.81,,88,,,140,,,188,,,52.33,48.37,51.6,55.8,,23.17,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep2-IITA-TMS-IBA980581_2005,IITA-TMS-IBA980581,2005,21,1,2,21,5,8,55,19.5,25.25,28.32,13.41,25.25,7.15,19.5,0.56,0.72,0.79,0.89,1,121,,,177,,,237,,,44.4,40.53,42,43.53,0,29.08,2.2
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep2-TMS18F1539P0073_2006,TMS18F1539P0073,2006,21,,2,21,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep2-TMS18F1310P0168_2007,TMS18F1310P0168,2007,21,,2,21,7,7,53,23.75,17.05,31.78,18.01,17.05,5.42,23.75,0.42,0.79,0.85,0.88,1,127,,,185,,,239,,,50.1,45.83,51.9,50.43,0,25.24,2.2
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep2-TMS18F1338P0053_2008,TMS18F1338P0053,2008,21,,2,21,8,9,95,17.15,38.5,36.18,23.87,38.5,13.93,17.15,0.69,0.71,0.86,0.85,1,123,,,163,,,201,149,2.4,49.2,47.23,49.7,48.33,108.54,24.13,3
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep2-TMS18F1320P0082_2009,TMS18F1320P0082,2009,21,,2,21,9,8,48,9.9,16.75,35.38,22.81,16.75,5.93,9.9,0.63,0.67,0.77,0.85,,67,,,108,,,149,,,46.03,42.47,50.67,52.5,103.24,17.73,2
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep2-TMS18F1366P0014_2010,TMS18F1366P0014,2010,21,,2,21,10,7,65,27.72,23.45,34.41,21.52,23.45,8.07,27.72,0.46,0.76,0.89,0.88,1,106,,,143,118,2.2,203,117,2.2,52.4,49.33,52.1,53.2,97.39,28.49,2
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep2-TMS18F1355P0081_2011,TMS18F1355P0081,2011,21,,2,21,11,11,91,28,50.45,36.65,24.5,50.45,18.49,28,0.64,0.81,0.88,0.86,,95,,,152,,,193,146.6,2.8,53.77,48.9,51.5,54.6,92.12,20.47,3.2
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep2-TMS18F1056P0016_2012,TMS18F1056P0016,2012,21,,2,21,12,4,30,11.65,15.25,31.45,17.58,15.25,4.8,11.65,0.57,0.82,0.84,0.81,2,112,,,178,120,2.6,197,125,2.4,50.8,49.5,49.93,45.43,83.76,24.57,2
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep2-TMS18F1271P0001_2013,TMS18F1271P0001,2013,21,,2,21,13,3,28,11.9,12.1,30.73,16.62,12.1,3.72,11.9,0.5,0.73,0.81,0.88,2,,,,,,,,,,47.13,49.83,47.73,48.67,,,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep2-TMS18F1337P0049_2014,TMS18F1337P0049,2014,21,,2,21,14,4,61,15.1,22.75,35.78,23.34,22.75,8.14,15.1,0.6,0.73,0.74,0.82,1,99,,,127,,,195,,,45.87,42.4,42.4,43.77,87.96,22.67,1.4
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep2-TMS18F1361P0041_2015,TMS18F1361P0041,2015,21,,2,21,15,6,52,16.3,18.23,32.56,19.06,18.23,5.94,16.3,0.53,0.77,0.72,0.87,1,152,,,227,194,2,240,187,2,48.8,45.17,50.23,48.67,83.64,27.1,2.8
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep2-TMS18F1028P0003_2016,TMS18F1028P0003,2016,21,,2,21,16,7,56,32.25,40.29,35.04,22.36,40.29,14.12,32.25,0.56,0.79,0.79,0.77,1,177,,,219,,,226,,,53.13,46.2,51.07,53.6,94.18,29.94,2
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep2-TMS18F1305P0017_2017,TMS18F1305P0017,2017,21,,2,21,17,9,112,21.85,33.2,36.58,24.41,33.2,12.14,21.85,0.6,0.76,0.85,0.86,,130,89,3,187,,,190,93,2.8,50.7,49.47,50,55.23,84.86,24,1.6
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep2-TMS18F1280P0091_2018,TMS18F1280P0091,2018,21,,2,21,18,6,74,20.85,25.5,35.17,22.53,25.5,8.97,20.85,0.55,0.79,0.87,0.88,,122,,,178,,,225,118,3,50.67,48.23,48.67,49.17,92.02,28.43,2.2
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep2-TMS18F1059P0015_2019,TMS18F1059P0015,2019,21,,2,21,19,7,69,20.3,29.55,35.85,23.43,29.55,10.59,20.3,0.59,0.77,0.86,0.86,2,132,,,178,,,193,,,52.57,49.9,51.17,55.67,103.82,25.15,2
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep2-TMS18F1348P0092_2020,TMS18F1348P0092,2020,21,,2,21,20,9,121,15.2,39.75,37.34,25.41,39.75,14.84,15.2,0.72,0.77,0.84,0.92,,83,,,121,,,150,85,2.6,49.8,47,47.57,53.17,92.56,21.74,2
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep2-IITA-TMS-IBA982101_2021,IITA-TMS-IBA982101,2021,21,1,2,21,21,6,48,18.5,19.85,33.82,20.73,19.85,6.71,18.5,0.52,0.74,0.86,0.9,,93,,,145,70.4,,198,108,2.2,43.27,40.07,39.27,38.73,,28.87,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep2-TMS18F1134P0010_2022,TMS18F1134P0010,2022,21,,2,21,22,10,136,32.04,42.75,35.49,22.96,42.75,15.17,32.04,0.57,0.77,0.89,0.88,,116,,,166,101,2.4,209,133,2.6,47.83,46.3,42.33,47.23,70,23.4,2.8
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep2-TMS18F1210P0021_2023,TMS18F1210P0021,2023,21,,2,21,23,5,31,12.75,9.5,30.47,16.27,9.5,2.89,12.75,0.43,0.74,0.87,0.87,2,95,,,159,,,190,105,2.6,48,48.27,49.37,52.87,100.35,20.28,2.6
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep2-TMS18F1324P0003_2024,TMS18F1324P0003,2024,21,,2,21,24,6,44,11.23,16.25,34.58,21.74,16.25,5.62,11.23,0.59,0.73,0.86,0.85,,82,,,116,,,142,,,47.93,49.03,49.43,52.83,0,14.37,2.6
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep2-TMS18F1344P0003_2025,TMS18F1344P0003,2025,21,,2,21,25,8,54,12.5,20.55,33.87,20.8,20.55,6.96,12.5,0.62,0.71,0.81,0.81,,133,,,200,,,235,,,52.4,50,51.77,53.6,0,22.33,2
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep2-TMS18F1348P0051_2026,TMS18F1348P0051,2026,22,,2,22,25,3,27,2.75,9.25,30.42,16.2,9.25,2.81,2.75,0.77,0.74,0.83,0.87,,,,,175,94,3,,,,48.3,42.23,42.23,39.77,,,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep2-TMS18F1324P0200_2027,TMS18F1324P0200,2027,22,,2,22,24,7,66,19.25,23.05,32.56,19.06,23.05,7.51,19.25,0.54,0.71,0.87,0.84,,96,,,161,78,3,180,87,3,50.07,49.5,48.8,47.63,103,24.87,2.2
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep2-TMS18F1324P0070_2028,TMS18F1324P0070,2028,22,,2,22,23,6,59,7.75,21.5,35.36,22.77,21.5,7.6,7.75,0.74,0.65,0.83,0.82,,94,,,154,,,165,116,2.6,50.73,50.33,50.43,46.5,110.44,18.16,3.4
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep2-TMS18F1484P0036_2029,TMS18F1484P0036,2029,22,,2,22,22,8,90,12.5,26.25,36.45,24.24,26.25,9.57,12.5,0.68,0.76,0.87,0.84,,105,,,153,85,2.6,179,74,2.8,45.57,47.37,46.83,48.03,82.41,19.33,3
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep2-TMS18F1349P0149_2030,TMS18F1349P0149,2030,22,,2,22,21,9,69,26.5,29.1,34.16,21.18,29.1,9.94,26.5,0.52,0.77,0.84,0.82,,123,,,183,113,2.6,256,124,2.2,50.43,45.27,48.43,46.63,88.49,26.23,1.8
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep2-TMS18F1068P0077_2031,TMS18F1068P0077,2031,22,,2,22,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep2-TMS18F1268P0019_2032,TMS18F1268P0019,2032,22,,2,22,19,3,35,14,15.05,34.37,21.46,15.05,5.17,14,0.52,0.79,0.84,0.9,2,92,,,129,72,2.2,159,81,2.2,50.93,51.13,50.83,52.4,89.32,25.89,1.6
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep2-TMS18F1132P0144_2033,TMS18F1132P0144,2033,22,,2,22,18,8,28,3.45,2.25,,,2.25,,3.45,0.39,0.67,0.79,0.85,4,67,,,102,,,119,,,44.93,46.4,45.7,43.97,93.18,14.16,3.2
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep2-TMS18F1076P0121_2034,TMS18F1076P0121,2034,22,,2,22,17,4,38,10.15,13.3,36.15,23.83,13.3,4.81,10.15,0.57,0.76,0.71,0.81,,120,,,182,,,229,200,2.6,51.63,47.7,51.17,50.43,68.44,22.13,2.2
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep2-TMS18F1299P0005_2035,TMS18F1299P0005,2035,22,,2,22,16,10,62,28.26,32.45,34.23,21.28,32.45,11.11,28.26,0.53,0.83,0.75,0.86,,136,,,208,,,241,162,2.6,54.43,49.27,50.93,52.67,93.3,27.91,1.8
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep2-TMS18F1324P0171_2036,TMS18F1324P0171,2036,22,,2,22,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep2-TMS18F1207P0008_2037,TMS18F1207P0008,2037,22,,2,22,14,8,65,38.75,40.05,35.38,22.81,40.05,14.17,38.75,0.51,0.74,0.88,0.9,1,91,,,143,65,2.4,215,97,2.2,46.7,46.57,48.93,46.77,76.12,34.13,2
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep2-TMS18F1309P0062_2038,TMS18F1309P0062,2038,22,,2,22,13,9,64,20.5,32.5,36.45,24.24,32.5,11.85,20.5,0.61,0.75,0.87,0.8,,106,,,171,,,214,111,3,46.6,45.37,43.1,46.83,95.95,26.82,2
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep2-TMS18F1069P0023_2039,TMS18F1069P0023,2039,22,,2,22,12,8,69,23.3,31.45,36.98,24.94,31.45,11.63,23.3,0.57,0.72,0.89,0.89,,136,,,200,,,279,,,50.47,49.6,51.33,49.9,0,27.14,2.2
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep2-TMS18F1326P0007_2040,TMS18F1326P0007,2040,22,,2,22,11,9,47,8.4,13.15,35.16,22.52,13.15,4.62,8.4,0.61,0.71,0.84,0.83,1,93,,,133,,,163,,,47.5,47.93,47.63,52.5,0,17.65,2.6
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep2-TMS18F1343P0012_2041,TMS18F1343P0012,2041,22,,2,22,10,5,19,4.25,11.4,33.94,20.88,11.4,3.87,4.25,0.73,0.68,0.8,0.88,1,111,,,149,,,186,,,51.17,46.87,50,46.63,0,16.91,2.2
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep2-TMS18F1324P0089_2042,TMS18F1324P0089,2042,22,,2,22,9,7,32,9.35,11.45,32.3,18.71,11.45,3.7,9.35,0.55,0.77,0.87,0.87,,97,,,144,,,167,,,52.13,48.37,50.73,49.57,0,18.71,3
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep2-TMS13F1160P0004_2043,TMS13F1160P0004,2043,22,,2,22,8,11,62,27.25,37.4,36.37,24.13,37.4,13.6,27.25,0.58,0.78,0.85,0.88,4,130,,,154,,,207,112,2.8,49.4,45.8,50.2,47.3,82.15,28.1,1.6
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep2-TMS18F1007P0004_2044,TMS18F1007P0004,2044,22,,2,22,7,8,54,25.26,34.1,34.47,21.59,34.1,11.75,25.26,0.57,0.79,0.88,0.89,2,98,,,187,111,2.4,223,104,2.6,49.87,49.83,51.43,51.6,94.73,26.83,1.6
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep2-TMS18F1306P0129_2045,TMS18F1306P0129,2045,22,,2,22,6,5,29,21.4,45.23,35.45,22.9,45.23,16.03,21.4,0.68,0.72,0.84,0.88,,136,,,194,,,234,,,47.83,45.97,43.07,41.07,81.79,25.84,2
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep2-TMS18F1217P0121_2046,TMS18F1217P0121,2046,22,,2,22,5,5,32,4.35,17.86,31.14,17.16,17.86,5.56,4.35,0.8,0.72,0.85,0.82,,90,,,122,,,163,99,2,41.83,38.03,38.5,37.9,79.28,21.03,1.8
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep2-IITA-TMS-IBA000070_2047,IITA-TMS-IBA000070,2047,22,1,2,22,4,9,95,29.05,45.01,34.97,22.26,45.01,15.74,29.05,0.61,0.81,0.88,0.89,1,123,,,187,,,233,,,53.93,50.33,51.67,52.87,85,24.15,1.6
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep2-TMS18F1144P0010_2048,TMS18F1144P0010,2048,22,,2,22,3,7,63,8.55,21.3,33.87,20.79,21.3,7.21,8.55,0.71,0.8,0.85,0.84,,93,,,112,,,153,,,52.63,46.67,51.3,49.17,0,17.99,2.8
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep2-TMS18F1150P0011_2049,TMS18F1150P0011,2049,22,,2,22,2,9,71,32.6,46.45,32.27,18.67,46.45,14.99,32.6,0.59,0.76,0.88,0.87,2,126,,,199,,,257,,,52.43,49.93,52.23,54.37,81.45,24.28,4
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep2-TMS18F1318P0036_2050,TMS18F1318P0036,2050,22,,2,22,1,4,27,8.9,20.5,33.29,20.02,20.5,6.82,8.9,0.7,0.78,0.87,0.86,,106,,,131,,,182,94,2.6,48.1,50.1,47.33,53.73,98.84,25.8,1.8
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep2-TMS18F1389P0031_2051,TMS18F1389P0031,2051,23,,2,23,1,5,42,11.55,17.15,30.65,16.52,17.15,5.26,11.55,0.6,0.76,0.88,0.87,2,89,,,153,,,205,88,2,50.27,48.13,51.93,51.63,86.35,20.86,2.8
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep2-TMS18F1274P0020_2052,TMS18F1274P0020,2052,23,,2,23,2,8,76,9.7,26.4,35.4,22.84,26.4,9.35,9.7,0.73,0.77,0.85,0.87,,92,,,110,,,142,,,44.17,46.13,45.83,48.3,77.72,17.76,3.2
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep2-TMS18F1250P0050_2053,TMS18F1250P0050,2053,23,,2,23,3,6,59,13.2,25.6,31.82,18.07,25.6,8.15,13.2,0.66,0.75,0.87,0.83,,114,100,2.2,154,101,2.2,171,108,2.2,44.57,45.47,46.2,50.7,86.54,23.54,2.2
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep2-TMS18F1073P0038_2054,TMS18F1073P0038,2054,23,,2,23,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep2-TMS18F1313P0013_2055,TMS18F1313P0013,2055,23,,2,23,5,10,82,37.2,50.15,37.37,25.46,50.15,18.74,37.2,0.57,0.78,0.89,0.9,,115,,,196,,,243,192,2.6,50.27,50.13,51.77,53.2,95.72,26.1,1.8
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep2-TMS18F1323P0002_2056,TMS18F1323P0002,2056,23,,2,23,6,4,18,4.8,13.25,33.96,20.92,13.25,4.5,4.8,0.73,0.78,0.87,0.85,,91,,,117,,,172,88,2.4,50.5,49.47,50.53,54.67,88.44,25.59,1.4
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep2-TMS18F1485P0022_2057,TMS18F1485P0022,2057,23,,2,23,7,8,46,50.89,44.56,33.76,20.66,44.56,15.05,50.89,0.47,0.82,0.88,0.84,9,107,,,183,103,2.8,215,133,2.6,50.63,49.07,49.57,51.03,75.54,26.02,2.6
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep2-TMEB419_2058,TMEB419,2058,23,1,2,23,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep2-TMS18F1278P0180_2059,TMS18F1278P0180,2059,23,,2,23,9,3,31,5.2,11.76,28.27,13.34,11.76,3.32,5.2,0.69,0.75,0.83,0.88,1,102,,,,,,,,,50.77,49.33,49.7,53.77,,,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep2-TMS18F1040P0032_2060,TMS18F1040P0032,2060,23,,2,23,10,6,53,12.86,27.3,34.14,21.16,27.3,9.32,12.86,0.68,0.77,0.85,0.84,1,117,78,3,171,81,2.6,193,96,2,50.97,50.13,51.2,51.03,91.55,23.49,4
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep2-TMS18F1348P0113_2061,TMS18F1348P0113,2061,23,,2,23,11,8,60,25.4,42.5,28.53,13.69,42.5,12.13,25.4,0.63,0.75,0.85,0.85,1,137,,,193,138,2,243,,,50.93,49.27,48.9,48.5,70.48,24.42,1.6
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep2-TMS18F1318P0054_2062,TMS18F1318P0054,2062,23,,2,23,12,9,107,25.5,36.6,36.36,24.11,36.6,13.31,25.5,0.59,0.79,0.88,0.9,,131,,,210,,,247,,,51.47,49.57,50.07,48.4,0,24.86,2.8
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep2-IITA-TMS-IBA982101_2063,IITA-TMS-IBA982101,2063,23,1,2,23,13,4,43,16.45,21.6,33.71,20.58,21.6,7.28,16.45,0.57,0.72,0.85,0.89,,96,81,2.8,,,,,,,43.97,42.6,38.73,40.4,,,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep2-TMS18F1319P0061_2064,TMS18F1319P0061,2064,23,,2,23,14,8,40,27.25,35.55,35.57,23.07,35.55,12.65,27.25,0.57,0.81,0.83,0.91,2,105,,,170,87,2.8,202,97,2.8,51,49.57,51.4,53.97,89.32,32.57,2
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep2-IITA-TMS-IBA30572_2065,IITA-TMS-IBA30572,2065,23,1,2,23,15,4,28,12.55,12.9,35.32,22.73,12.9,4.56,12.55,0.51,0.75,0.85,0.89,2,141,,,167,,,205,164,2.8,46.8,47.43,49.47,49,93.54,,2.2
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep2-TMS18F1007P0005_2066,TMS18F1007P0005,2066,23,,2,23,16,6,54,24.1,27.5,37.25,25.29,27.5,10.24,24.1,0.53,0.79,0.88,0.9,,98,,,148,76,2.6,221,126,2.8,50.47,50.13,50.9,51.07,93.99,23.1,2.4
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep2-TMS18F1314P0007_2067,TMS18F1314P0007,2067,23,,2,23,17,9,57,42.15,28.47,30.47,16.26,28.47,8.67,42.15,0.4,0.77,0.91,0.89,,111,,,187,86,3.2,193,111,3,50.6,48.8,49.53,45.1,86.96,30.13,1.8
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep2-TMS18F1320P0087_2068,TMS18F1320P0087,2068,23,,2,23,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
