trial,year_harvest,location,trial_type,plot_name,accession_name,plot_number,block_number,is_a_control,rep_number,row_number,col_number,NOHAV,RTNO,SHTWT,RTWT,DM,STARCH,FYLD,DYLD,TYLD,HI,NDVI3,NDVI6,NDVI9,LODG,PLTHTIII,BRNHTIII,BRNLEVIII,PLTHTVI,BRNHTVI,BRNLEVVI,PLTHTIX,BRNHTIX,BRNLEVIX,CHL3,CHL6,CHL9,ANGBR9,STMDI9,PPSTD9
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1175P0016_1153,TMS18F1175P0016,1153,7,,1,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1345P0056_1154,TMS18F1345P0056,1154,7,,1,7,4,6,40,28.7,19.75,29.42,14.87,26.33,7.75,38.27,0.41,0.86,0.57,0.65,0,82,50,1,103,47,2,121,51,2,52.4,45.73,47.1,83.96,20.14,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1489P0038_1155,TMS18F1489P0038,1155,7,,1,7,5,5,15,20.79,10.35,26.84,11.44,13.8,3.7,27.72,0.33,0.84,0.56,0.43,0,67,32,1,90,31,2,91,32,3,53.67,48.8,47.17,78.57,20.472,1
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-IITA-TMS-IBA982101_1156,IITA-TMS-IBA982101,1156,7,1,1,7,6,5,45,36.85,22.02,28.04,13.03,29.36,8.23,49.13,0.37,0.84,0.71,0.6,0,73,51,1,101,54,2,116,65,1,40.6,43.37,37.73,78.32,21.562,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1350P0056_1157,TMS18F1350P0056,1157,7,,1,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1366P0014_1158,TMS18F1366P0014,1158,7,,1,7,8,5,28,26.4,12.7,28.71,13.92,16.93,4.86,35.2,0.32,0.85,0.58,0.68,0,63,,,92,55.4,2,102,56,2,55.4,44.17,41.3,85.23,20.914,1
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1028P0003_1159,TMS18F1028P0003,1159,7,,1,7,9,9,59,33.05,22.94,31.26,17.32,30.59,9.56,44.07,0.41,0.87,0.64,0.66,1,101,,,123,,,148,87,1,52.57,52.47,46.1,76.99,21.358,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1348P0157_1160,TMS18F1348P0157,1160,7,,1,7,10,9,94,19.7,22.9,35.56,23.05,30.53,10.86,26.27,0.54,0.9,0.57,0.58,0,94.4,,,104,,,114,86.8,1,51.23,48.87,43,73.32,17.808,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1349P0157_1161,TMS18F1349P0157,1161,7,,1,7,11,9,61,22.5,22.05,29.2,14.58,29.4,8.58,30,0.49,0.91,0.64,0.61,3,110,,,132,84,2,144,89,2,57.07,41.33,44.63,78.22,24.504,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1562P0055_1162,TMS18F1562P0055,1162,7,,1,7,12,5,28,16.4,10.1,27.21,11.93,13.47,3.66,21.87,0.38,0.88,0.45,0.64,2,96,43,1,102,42.6,2,106,43,2,51.97,39.4,46.03,75.77,16.784,2
