trial,year_harvest,location,trial_type,plot_name,accession_name,plot_number,block_number,is_a_control,rep_number,row_number,col_number,SHTWT,RTWT,DM,STARCH,FYLD,DYLD,HI,NDVI3,NDVI6,NDVI9,LODG,PLTHTIII,PLTHTVI,PLTHTIX,ANGBR9,STMDI9,time
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1349P0064_1026,TMS18F1349P0064,1026,2,,1,2,25,10.1,23.65,28.31,13.4,23.65,6.7,0.7,0.81,0.87,0.82,,83,125,169,0,20.01,3map
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-IITA-TMS-IBA000070_1027,IITA-TMS-IBA000070,1027,2,1,1,2,24,21.75,63.25,35.35,22.76,63.25,22.36,0.74,0.87,0.9,0.82,,126,164,228,83.53,26.13,3map
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1343P0014_1028,TMS18F1343P0014,1028,2,,1,2,23,2.55,5.65,,,5.65,,0.69,0.81,0.83,0.86,,,,,,,3map
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1076P0121_1029,TMS18F1076P0121,1029,2,,1,2,22,20.15,24.15,37.21,25.25,24.15,8.99,0.55,0.84,0.89,0.81,,98,152,224,84.8,23.45,3map
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1260P0060_1030,TMS18F1260P0060,1030,2,,1,2,21,12.08,33.4,34.15,21.17,33.4,11.41,0.73,0.86,0.88,0.74,,83,110,139,95.27,20.04,3map
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1250P0050_1031,TMS18F1250P0050,1031,2,,1,2,20,5.7,18.27,31.59,17.76,18.27,5.77,0.76,0.75,0.86,0.86,,81,119,152,92.19,20.85,3map
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1026P0009_1032,TMS18F1026P0009,1032,2,,1,2,19,37.45,27.2,33.63,20.48,27.2,9.15,0.42,0.85,0.91,0.87,2,121,151,240,90.62,31.01,3map
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1338P0013_1033,TMS18F1338P0013,1033,2,,1,2,18,14.3,20.35,29.48,14.95,20.35,6,0.59,0.86,0.86,0.76,,95,133,198,,27.95,3map
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1421P0025_1034,TMS18F1421P0025,1034,2,,1,2,17,8.65,5.15,,,5.15,,0.37,0.8,0.85,0.8,2,74,,,,,3map
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1174P0011_1035,TMS18F1174P0011,1035,2,,1,2,16,14.24,17.8,34.05,21.04,17.8,6.06,0.56,0.84,0.84,0.89,2,112,138,194,101.35,27.11,3map
