"ENTRY","BLUP","condSD","Predicted_Mean"
"TMS18F1278P0068",-3.7922,14.9685,19.6155972347038
"TMS18F1328P0032",-3.8526,14.9701,19.5551972347038
"TMS18F1069P0033",-3.8578,14.9639,19.5499972347038
"TMS18F1320P0051",-3.9071,14.969,19.5006972347038
"TMS18F1076P0001",-3.9084,16.6031,19.4993972347038
"TMS18F1055P0044",-4.0293,14.964,19.3784972347038
"TMS18F1132P0083",-4.0985,14.9649,19.3092972347038
"TMS18F1016P0010",-4.1285,14.9641,19.2792972347038
"TMS18F1132P0078",-4.1397,14.9678,19.2680972347038
"TMS18F1149P0024",-4.1488,14.967,19.2589972347038
"TMS18F1355p0038",-4.1546,14.9676,19.2531972347038
"TMS18F1271P0001",-4.1678,14.9641,19.2399972347038
"TMS18F1174P0011",-4.1689,14.9692,19.2388972347038
"TMS18F1262P0008",-4.1911,14.9657,19.2166972347038
"TMS18F1264P0058",-4.2197,14.9623,19.1880972347038
"TMS18F1090P0031",-4.2706,18.6345,19.1371972347038
"TMS18F1278P0165",-4.421,14.9633,18.9867972347038
"TMS18F1327P0006",-4.4591,14.9628,18.9486972347038
"TMS18F1409P0008",-4.4737,14.9678,18.9340972347038
"TMS18F1325P0032",-4.487,14.9609,18.9207972347038
"TMS18F1447P0045",-4.497,14.9634,18.9107972347038
"TMS18F1489P0038",-4.5655,14.9685,18.8422972347038
"TMS18F1539P0073",-4.5813,20.7736,18.8264972347038
"TMS18F1389P0031",-4.5933,16.6015,18.8144972347038
"IITA-TMS-IBA30572",-4.6373,9.7648,18.7704972347038
"TMS18F1350P0091",-4.7108,14.9604,18.6969972347038
"TMS18F1361P0041",-4.7183,14.9637,18.6894972347038
"TMS18F1250P0050",-4.8275,14.9688,18.5802972347038
"TMS18F1319P0121",-4.9616,14.9666,18.4461972347038
"TMS18F1436P0053",-4.9991,14.9681,18.4086972347038
"TMS18F1042P0009",-5.1532,16.6002,18.2545972347038
"TMS18F1296P0042",-5.1816,14.9649,18.2261972347038
"TMS18F1056P0016",-5.368,14.9641,18.0397972347038
"TMS18F1323P0002",-5.3895,14.9677,18.0182972347038
"TMS18F1348P0131",-5.4084,12.3836,17.9993972347038
"TMS18F1068P0077",-5.5561,16.6002,17.8516972347038
"TMS18F1329P0011",-5.5625,14.962,17.8452972347038
"TMS18F1342P0003",-5.5713,14.9685,17.8364972347038
"TMS18F1324P0089",-5.5893,14.9668,17.8184972347038
"TMS18F1377P0023",-5.7548,14.969,17.6529972347038
"TMS18F1330P0008",-5.774,14.964,17.6337972347038
"TMS18F1259P0131",-5.8103,14.969,17.5974972347038
"TMS18F1040P0044",-5.9104,14.9637,17.4973972347038
"TMS18F1048P0023",-5.9419,16.5969,17.4658972347038
"TMS18F1041P0002",-5.9501,16.5981,17.4576972347038
"TMS18F1320P0032",-5.9792,14.9625,17.4285972347038
"TMS18F1352P0016",-6.0842,14.9713,17.3235972347038
"TMS18F1003P0014",-6.1331,14.9678,17.2746972347038
"TMS18F1306P0135",-6.1756,14.9667,17.2321972347038
"TMS18F1215P0027",-6.2652,16.594,17.1425972347038
"TMS18F1306P0149",-6.2706,14.9655,17.1371972347038
"TMS18F1355P0120",-6.4008,14.9686,17.0069972347038
"TMS18F1348P0024",-6.4255,14.9759,16.9822972347038
"TMS18F1068P0063",-6.4257,14.9678,16.9820972347038
"TMS18F1028P0030",-6.6401,16.5944,16.7676972347038
"TMS18F1138P0035",-6.6738,14.9661,16.7339972347038
"TMS18F1364P0027",-6.7283,14.9667,16.6794972347038
"TMS18F1481P0015",-6.7393,20.7731,16.6684972347038
"TMS18F1344P0147",-6.7674,14.9639,16.6403972347038
"TMS18F1055P0036",-6.9229,14.9679,16.4848972347038
"TMS18F1058P0019",-6.9286,16.594,16.4791972347038
"TMS18F1343P0014",-6.9772,18.6487,16.4305972347038
"TMS18F1113P0002",-6.9824,14.9632,16.4253972347038
"TMS18F1426P0001",-7.0834,14.9645,16.3243972347038
"TMS18F1233p0013",-7.1766,14.9642,16.2311972347038
"TMS18F1308P0114",-7.1881,14.9665,16.2196972347038
"TMS18F1307P0001",-7.2158,14.9666,16.1919972347038
"TMS18F1076P0114",-7.3623,20.7785,16.0454972347038
"TMS18F1346P0023",-7.4698,14.9623,15.9379972347038
"TMS18F1280P0136",-7.6143,14.9628,15.7934972347038
"TMS18F1282P0049",-7.6795,14.9643,15.7282972347038
"TMS18F1073P0038",-7.7465,16.5962,15.6612972347038
"TMS18F1265P0030",-7.8331,14.971,15.5746972347038
"TMS18F1092P0016",-7.9239,14.9662,15.4838972347038
"TMS18F1019P0018",-7.9601,14.9647,15.4476972347038
"TMS18F1218P0003",-8.3528,14.961,15.0549972347038
"TMS18F1135P0025",-8.3741,14.9746,15.0336972347038
"TMS18F1295P0034",-8.6437,16.5985,14.7640972347038
"TMS18F1076P0117",-8.7588,18.632,14.6489972347038
"TMS18F1562P0023",-8.7749,14.9664,14.6328972347038
"TMS18F1562P0025",-8.8723,14.9694,14.5354972347038
"TMS18F1058P0020",-8.8816,18.6343,14.5261972347038
"TMS18F1132P0144",-9.3447,14.968,14.0630972347038
"TMS18F1317P0119",-9.4895,14.9627,13.9182972347038
"TMS18F1421P0025",-10.2424,18.6326,13.1653972347038
"TMS18F1338P0115",-10.4167,16.5971,12.9910972347038
"TMS18F1447P0078",-11.3957,14.9676,12.0120972347038
