trial,year_harvest,location,trial_type,plot_name,accession_name,plot_number,block_number,is_a_control,rep_number,row_number,col_number,LODG,BRNLEV9,PLTHT9,NOHAV,RTNO,STARCH,BRNHB9,ANGBR9,STMDI9,PPSTD9,SHTWT,BRNHT9,PLTHT6,FYLD,DYLD,HI,BRNHT6
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1366P0012_1041,TMS18F1366P0012,1041,2,,1,2,10,0,4,203.3333333,9,25,17.1,3,87.86,24.58,1,25.3,60,200,20.1,6.2,0.37,43.33333333
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1280P0091_1042,TMS18F1280P0091,1042,2,,1,2,9,0,4,199.1666667,9,101,28.54,3,90.22,26.64,2,25.4,87.5,195,48.6,16.8,0.59,78
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1396P0053_1043,TMS18F1396P0053,1043,2,,1,2,8,0,3,150.8333333,9,82,26.31,3,80.62,24.21,2,22.4,64.16666667,155,36.8,13.5,0.55,70
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-IITA-TMS-IBA980581_1044,IITA-TMS-IBA980581,1044,2,1,1,2,7,1,1,197.5,9,55,23.1,2,,26.9,2,27.05,123.75,186.6666667,28.7,9.3,0.44,125
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1520P0039_1045,TMS18F1520P0039,1045,2,,1,2,6,4,4,200,5,12,,,,,,20.25,70,185,4.9,2,0.15,77.66666667
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1354P0027_1046,TMS18F1354P0027,1046,2,,1,2,5,0,3,206.6666667,9,110,25.82,3,80.88,28.65,3,27.6,90,185,48.9,19.8,0.57,82.33333333
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1355p0038_1047,TMS18F1355p0038,1047,2,,1,2,4,0,3,199.1666667,8,40,,3,76.72,28.97,2,27.3,75,201.6666667,24.2,8.3,0.4,68.33333333
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1069P0023_1048,TMS18F1069P0023,1048,2,,1,2,3,1,2,145.8333333,9,13,,2,68.77,22.94,2,22.95,79.16666667,154,6.7,2.6,0.18,89
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1163P0042_1049,TMS18F1163P0042,1049,2,,1,2,2,0,3,142.5,9,50,31.12,3,76.83,22.45,2,13.25,51.66666667,121.6666667,19.2,8.1,0.52,45
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1365P0018_1050,TMS18F1365P0018,1050,2,,1,2,1,7,0,200.8333333,9,8,,1,,25.24,2,11.55,137.5,181.6666667,4,,0.21,
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1319P0033_1051,TMS18F1319P0033,1051,3,,1,3,1,2,3,182.5,9,22,32.51,3,89.16,27.02,1,21.05,58.33333333,165,12.4,5.2,0.31,62.66666667
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1004P0008_1052,TMS18F1004P0008,1052,3,,1,3,2,3,2,159.1666667,9,31,24.92,2,,21.96,1,14.06,113.75,183.3333333,23.5,10,0.56,105
