Genotypes,Replication,ANGBR9,BRNHB9,BRNHT9,BRNHT6,BRNLEV9,DM,DYLD,FYLD,HI,LODG,NOHAV,PLTHT9,PLTHT6,PPSTD9,PT,RTNO,RTWT,SHTWT,STARCH,STMDI9,TYLD,VR
G378,1,75.12485903,3.041615508,75.17794405,69.86780852,2.549016785,32.98239076,9.518164639,29.48713202,0.523640863,1.13078226,8.448613726,204.049882,198.8933386,1.471198285,2.730772942,50.18072536,22.73618819,18.87552881,24.93342984,26.64606451,25.21134752,2.730772942
G379,1,79.5004604,3.001464484,61.55220266,64.61255858,2.62028003,35.70736216,9.138448014,26.11301924,0.436432942,1.315909054,8.566941549,194.4274938,186.7493641,1.54856484,2.730772942,37.33983574,20.37083009,24.04930824,28.51981542,26.83481671,30.46289485,2.730772942
G380,1,87.66856265,2.717459002,112.2562182,112.5283179,1.728020961,30.14865885,4.261332578,11.2255051,0.365292065,3.387535607,6.553480657,199.9601828,207.792996,1.714751396,2.730772942,20.41799575,7.620324602,14.32257079,22.59190978,27.09378763,20.01060011,2.730772942
G381,1,66.64728765,2.440546182,133.7327531,132.0145665,1.446631371,36.00782903,7.466069564,20.14749113,0.443991554,3.631886101,7.924366754,239.6888279,246.9139273,1.311004339,2.730772942,31.9936111,15.16789839,17.60828598,27.47276129,28.12060039,23.57724689,2.730772942
G382,1,81.54625238,1.951976873,115.8404862,112.6067074,1.10603063,34.4125696,6.221195466,15.70646946,0.402516578,2.767362747,7.93725099,197.5416483,186.9751888,1.534779214,2.730772942,29.69821673,11.57495082,16.74974893,26.42525311,25.75769881,22.77157116,2.730772942
G383,1,76.99504639,2.752408815,146.5112905,128.9510333,1.767170101,32.2460108,8.592863298,27.23645965,0.498232065,2.457113739,8.932563692,223.6530174,217.2350522,1.759117298,2.730772942,43.73831111,21.15842192,20.83320481,23.70690941,27.32593109,28.35919924,2.730772942
G384,1,76.97894524,3.125829017,75.89038123,77.93543439,2.34384217,33.68717763,6.523413852,17.72307176,0.440052669,1.122307495,8.2322734,173.2746474,171.2511731,1.637300465,2.730772942,35.82103519,12.66966704,16.94299812,25.74252129,23.78257851,23.30262828,2.730772942
G385,1,86.57135943,2.535031571,70.91777984,65.33272691,2.677162857,31.02276123,7.170646079,23.71404423,0.423686119,1.896191152,8.32239381,196.6016258,190.3434743,1.347101946,2.730772942,31.3266751,18.29986657,22.34938035,21.15327108,27.22212034,29.36273043,2.730772942
G386,1,85.63502804,2.854493893,73.1045593,76.23541339,2.252741503,34.22378801,7.545944483,21.92899852,0.400394448,1.333198697,8.156244898,173.1604435,166.9346575,1.605110926,2.730772942,42.18147101,16.4684135,23.92950688,26.05504198,27.1094299,31.26281752,2.730772942
G387,1,75.06843858,2.782533583,78.30374606,80.76751618,2.417638603,32.32295725,6.499015267,19.37428968,0.4287973,2.900065231,7.553922428,215.3462262,214.3968926,1.216004445,2.730772942,28.90574743,14.70033622,18.10299629,23.05318098,29.60513463,23.91235084,2.730772942
G388,1,89.45006002,3.108791374,61.21526048,64.76539354,2.713584906,35.74058689,6.674680921,16.7750547,0.328966564,2.315961205,7.708427175,185.79087,190.5610551,1.267231501,2.730772942,24.34082043,12.77336891,22.92259612,27.44562902,30.69472277,29.16433255,2.730772942
G389,1,83.63867243,3.12874885,108.7010531,93.0112163,2.081754917,31.66551254,5.811655904,13.97734191,0.325523797,2.321403723,7.002818046,202.2480027,205.510069,1.584406558,2.730772942,20.10190741,10.32885849,18.34971122,25.94532033,27.34879821,24.54884384,2.730772942
G390,1,81.39305573,3.110791343,84.05272479,84.67719288,2.90242159,33.51276085,8.270644808,24.52208144,0.456924393,2.008554817,9.051594912,201.4945815,211.8006315,1.521866862,2.730772942,37.30935065,19.15230055,21.43189453,25.25610998,27.2322191,27.38448439,2.730772942
G391,1,NA,NA,82.85132273,NA,0.969177004,NA,NA,NA,NA,1.628597663,6.487334886,155.9195045,136.8445156,1.493424516,2.730772942,NA,NA,18.36385511,NA,NA,24.46273632,2.730772942
G392,1,87.57045725,2.981070632,104.5985523,107.2222799,1.909835796,30.63191179,6.165389307,19.27856373,0.512170555,2.001664455,7.027305186,194.1058933,195.5234063,1.354570861,2.730772942,25.35009511,13.76828257,13.06329873,21.51544066,26.35116347,18.42976882,2.730772942
G393,1,82.71302955,3.008303076,69.03565803,65.75822626,2.605228898,33.48981104,6.020168967,17.67098832,0.461717181,2.771504851,8.196993651,167.9280803,170.5484762,1.41227674,2.730772942,32.41805378,13.10987088,15.44167238,25.28069558,25.80052362,21.2189929,2.730772942
G394,1,79.9749695,2.835542753,76.57507973,80.91600148,2.373465216,32.55176671,7.417501984,22.8090492,0.418024983,1.894397708,8.279943892,181.8646543,172.5140852,1.457263065,2.730772942,33.96539362,17.65474923,21.29291106,23.4566985,27.70054823,28.25571062,2.730772942
G395,1,65.56249313,2.917576125,47.22026529,53.8913437,2.914044073,34.00905084,6.449231779,18.21378125,0.520568824,1.372156927,8.133961256,147.4051438,155.636267,1.432272036,2.730772942,30.77614105,13.84407721,12.46243142,25.39647161,23.37676633,17.21437975,2.730772942
