Genotypes,Replication,LODG,BRNLEV9,PLTHT9,NOHAV,RTNO,STARCH,BRNHB9,ANGBR9,STMDI9,PPSTD9,SHTWT,RTWT,BRNHT9,PLTHT6,FYLD,DYLD,TYLD,HI,DM,BRNHT6
IITA-TMS-IBA30572,1,0,,,2,15,12.40,,,,2,17.86,6.05,,,8.07,2.22,23.81,0.25,27.56,
TMS18F1287P0029,1,1,,,4,25,16.67,,,,3,13.12,8.8,,86,11.73,3.61,17.49,0.40,30.77,
TMS18F1489P0040,1,1,4,162,5,43,15.26,3,83.74,26.488,1,46.01,19,40,139,25.33,7.53,61.35,0.29,29.71,40.4
TMS18F1340P0030,1,1,2,155,9,73,17.29,3,85.94,23.366,3,30.3,22.85,82,133.4,30.47,9.52,40.40,0.43,31.23,72
TMS18F1389P0021,1,2,3,170,8,55,13.98,3,89.53,27.712,2,38.75,12.1,46.6,162,16.13,4.64,51.67,0.24,28.75,57
TMS18F1019P0018,1,3,2,143,7,27,10.19,3,88.10,21.57,2,27.3,8.72,88,132,11.63,3.01,36.40,0.24,25.90,
TMS18F1318P0036,1,1,3,157,8,68,19.06,3,83.23,19.75,2,27.2,5.15,43,153,6.87,2.24,36.27,0.16,32.56,46
TMS18F1562P0030,1,0,3,191,8,82,25.10,3,71.02,19.132,2,32.8,23.45,50,190,31.27,11.60,43.73,0.42,37.10,51
TMS18F1334P0023,1,0,2,153,8,52,22.46,3,94.86,21.182,2,25.92,18.75,77,150,25.00,8.78,34.56,0.42,35.12,78
TMS18F1272P0037,1,0,3,174,8,55,10.07,3,86.45,20.428,2,44.55,4.65,52,164,6.20,1.60,59.40,0.09,25.81,47.4
TMS18F1132P0144,1,4,1,110,4,20,,2,58.46,16.968,3,9.95,7,58,89,9.33,,13.27,0.41,,54.6
TMS18F1306P0129,1,1,,162,6,49,3.93,3,70.51,21.658,2,32.68,24.84,,143,33.12,7.02,43.57,0.43,21.21,
TMS18F1349P0064,1,1,,129,9,77,12.27,2,,20.42,2,32,27.65,,115,36.87,10.12,42.67,0.46,27.46,
IITA-TMS-IBA000070,1,0,2,139,8,50,17.65,2,80.68,21.418,2,34.18,33.8,48,132,45.07,14.20,45.57,0.50,31.50,46
TMS18F1343P0014,1,3,,,3,8,6.81,,,,1,9.6,8,,,10.67,2.49,12.80,0.45,23.36,
TMS18F1076P0121,1,0,,,3,22,19.14,,,,2,23.85,14.8,,,19.73,6.44,31.80,0.38,32.63,
TMS18F1260P0060,1,0,3,110,8,60,18.17,3,86.24,19.67,2,25.07,24.3,37,107.4,32.40,10.33,33.43,0.49,31.89,37
TMS18F1250P0050,1,0,2,107,1,10,,2,70.96,21.686,1,2.56,6.37,39,108.6,8.49,,3.41,0.71,,37.6
TMS18F1026P0009,1,3,3,147,5,36,17.65,3,78.52,23.52,2,33.75,18.9,64,129,25.20,7.94,45.00,0.36,31.51,57.6
TMS18F1338P0013,1,0,4,152,9,64,9.49,3,74.53,25.528,1,34.3,29.42,36,144.4,39.23,9.95,45.73,0.46,25.38,38.6
TMS18F1421P0025,1,0,,,,,,,,,2,,,,,,,,,,
TMS18F1174P0011,1,3,3,118,5,26,12.25,3,85.15,25.812,2,29.45,10.15,49,108,13.53,3.71,39.27,0.26,27.45,
TMS18F1064P0027,1,0,,,1,6,17.57,,,,1,2.45,7.05,,,9.40,2.96,3.27,0.74,31.45,
TMS18F1324P0171,1,,,,,,,,,,,,,,,,,,,,
TMS18F1277P0045,1,,,,,,,,,,,,,,,,,,,,
IITA-TMS-IBA982101,1,0,2,124,5,48,12.25,2,83.47,20.44,2,28.03,16.15,41,109,21.53,5.91,37.37,0.37,27.45,44
TMS18F1286P0012,1,5,3,171,8,56,18.88,3,76.38,26.336,2,55.07,16.2,69.6,154,21.60,7.00,73.43,0.23,32.43,69
TMS18F1366P0012,1,0,,,4,37,8.89,,,,1,39.42,21.02,,105,28.03,6.99,52.56,0.35,24.93,
TMS18F1280P0091,1,0,3,131.4,7,78,18.65,3,77.29,17.866,1,25.22,23.8,49,123,31.73,10.24,33.63,0.49,32.26,36
TMS18F1396P0053,1,0,1,117,5,38,17.96,3,63.44,18.948,2,26.56,14.85,67.6,99,19.80,6.28,35.41,0.36,31.74,
IITA-TMS-IBA980581,1,0,,151,8,40,8.36,3,81.03,22.464,2,59.77,25.74,,149,34.32,8.42,79.69,0.30,24.53,
TMS18F1520P0039,1,,,,,,,,,,,,,,,,,,,,
TMS18F1354P0027,1,1,2,141,9,70,13.45,3,78.58,20.182,1,42.86,17.32,63,119,23.09,6.55,57.15,0.29,28.35,64
TMS18F1355p0038,1,2,2,128,7,56,17.38,3,73.69,22.388,2,55.97,17.75,54,113,23.67,7.41,74.63,0.24,31.31,59
TMS18F1069P0023,1,1,1,105.2,6,36,13.30,3,53.89,20.37,1,25.47,16.25,66.6,90,21.67,6.12,33.96,0.39,28.24,67
TMS18F1163P0042,1,1,2,79,5,35,14.55,3,63.21,19.672,2,22.25,10.25,43,67.4,13.67,3.99,29.67,0.32,29.18,44.6
TMS18F1365P0018,1,1,,,3,24,18.32,,,,1,24.75,11.75,,,15.67,5.01,33.00,0.32,32.01,
TMS18F1319P0033,1,2,2,120,6,35,15.16,3,74.48,23.264,1,27.98,19.2,56.8,103,25.60,7.59,37.31,0.41,29.64,54
TMS18F1004P0008,1,0,,124,7,45,18.43,2,33.59,17.792,2,34.08,17.35,,106,23.13,7.42,45.44,0.34,32.09,
TMS18F1336P0015,1,1,,103.6,5,22,15.82,2,34.40,19.706,2,27.18,9.45,,88,12.60,3.80,36.24,0.26,30.13,
TMS18F1348P0156,1,1,2,134,6,53,22.33,3,66.71,19.854,2,46.37,26,78,115,34.67,12.14,61.83,0.36,35.02,66.4
TMS18F1068P0063,1,5,,105,4,28,8.16,,,,2,35.8,10.05,,100,13.40,3.27,47.73,0.22,24.38,34
IITA-TMS-IBA000070,1,0,,,4,38,10.43,,,,2,42.45,31.95,,,42.60,11.11,56.60,0.43,26.09,
TMS18F1348P0051,1,0,,,4,30,13.79,,,,1,40.61,14,,,18.67,5.34,54.15,0.26,28.61,
TMS18F1280P0151,1,3,2,109,3,25,16.93,4,79.00,21.422,2,22.61,11.5,63.2,96,15.33,4.75,30.15,0.34,30.96,65
TMS18F1215P0027,1,0,1,137,5,45,12.56,3,72.93,22.642,1,36.1,13.05,85.6,121.4,17.40,4.82,48.13,0.27,27.68,83.4
TMS18F1041P0005,1,0,2,112.4,7,69,13.39,3,84.05,20.084,2,37.65,21.15,50,110,28.20,7.98,50.20,0.36,28.31,50.4
TMS18F1073P0038,1,1,,,1,6,20.90,,,,1,37.17,5.05,,,6.73,2.29,49.56,0.12,33.94,
IITA-TMS-IBA30572,1,2,,,2,10,10.75,,,,2,16.56,2.75,,,3.67,0.97,22.08,0.14,26.33,
TMS18F1058P0019,1,5,3,94,6,22,11.24,3,81.48,22.142,1,23.45,3.3,32,87,4.40,1.17,31.27,0.12,26.70,34.4
TMS18F1127P0011,1,0,2,89,5,42,16.09,3,73.16,17.526,1,22.41,14.15,53,77,18.87,5.72,29.88,0.39,30.34,47.8
TMS18F1132P0042,1,5,2,111,8,34,17.76,3,74.91,20.282,2,15,10.1,71,102.4,13.47,4.25,20.00,0.40,31.59,67.4
TMS18F1345P0043,1,0,2,139,7,43,18.85,3,75.41,25.282,2,40.16,20.95,90,123,27.93,9.05,53.55,0.34,32.41,82.4
TMS18F1472P0042,1,0,,,3,22,15.10,,,,2,17.94,14.4,,,19.20,5.68,23.92,0.45,29.59,
TMS18F1481P0009,1,0,,96,7,59,17.37,3,73.09,23.898,2,16.97,13.08,,89,17.44,5.46,22.63,0.44,31.30,
TMS18F1113P0038,1,1,2,131,3,22,15.86,2,89.25,21.904,2,32.72,13.2,65,131,17.60,5.31,43.63,0.29,30.16,63
TMS18F1209P0015,1,2,,,3,20,13.05,,,,4,38.55,10.2,,,13.60,3.82,51.40,0.21,28.05,
TMS18F1424P0021,1,3,3,163,6,40,14.94,3,75.29,29.256,1,35.27,14.8,46,153,19.73,5.82,47.03,0.30,29.47,41
TMS18F1317P0119,1,3,2,108,4,20,19.42,3,70.49,20.324,2,17.3,5.95,48,101.6,7.93,2.60,23.07,0.26,32.83,47
TMS18F1344P0003,1,0,2,131,8,76,15.37,3,83.71,19.334,2,18.95,23,46.6,126,30.67,9.14,25.27,0.55,29.79,47.8
TMS18F1339P0012,1,0,2,143,6,48,17.83,3,80.43,21.234,2,30.15,15.86,52.6,136,21.15,6.69,40.20,0.34,31.64,57.4
IITA-TMS-IBA980581,1,1,1,163,7,72,11.51,3,80.82,27.906,2,48.65,23.4,111,145,31.20,8.39,64.87,0.32,26.90,104
TMS18F1344P0014,1,1,,141,9,53,18.75,1,,21.008,2,20.35,29.35,,129,39.13,12.65,27.13,0.59,32.33,
TMS18F1305P0007,1,4,4,171,6,38,19.17,2,93.83,22.4,1,32.8,13.3,30,162,17.73,5.79,43.73,0.29,32.65,26.6
TMS18F1305P0019,1,5,3,173,8,56,12.01,3,82.79,23.07,1,35.01,22.55,45,171,30.07,8.20,46.68,0.39,27.27,42.4
